date,average_score,total_shoots
11/09/2023,91.92857143,14
18/09/2023,91.21428571,14
25/09/2023,92.53846154,13
02/10/2023,93.76923077,13
05/10/2023,93.9375,16
07/10/2023,94.2,5
10/10/2023,92.71428571,14
12/10/2023,91.5,42
14/10/2023,93.57142857,7
17/10/2023,92.10526316,19
07/11/2023,94,17
14/11/2023,93.8,15
18/11/2023,94.41666667,12
28/11/2023,91.80952381,21
02/12/2023,92.35714286,14
05/12/2023,94.25,20
09/12/2023,93.4,15
09/01/2024,92.11111111,18
13/01/2024,93.32142857,28
18/01/2024,93.16666667,30
23/01/2024,94,12
30/01/2024,92.15384615,26
06/02/2024,92.5862069,29
